id;lab_x_01;lab_y_02;area_03;mH_04;Hmax_05;Hmin_06;Hmax_1_07;Hmin_1_08;perim_09;40N20cr_10;E40N20s_11;N20slp8_12;20slp8g_13;asp8smm_14;sp8smma_15;sp8smma_16;sp8smma_17;sp8smma_18;2clc185_19;clc185A_20;clc185A_21;clc185A_22;clc185A_23;clc185A_24;clc185A_25;clc185A_26;clc185A_27;clc185A_28;clc185A_29;clc185A_30;clc185A_31;clc185A_32
139530;7.439356385;46.42797725;292.1;1679;3210;824;3210;824;112221;1679;21;0.03;0.7;336;28;26;16;30;;3;0;2;10;3;24;24;0;0;4;52;0;1
153731;6.503040586;46.61116645;231.7;690;1662;373;1662;373;99118;690;6;0.38;0.08;123;12;44;26;19;;0;0;0;0;0;31;2;5;23;1;2;59;7
112444;7.290314218;46.43235855;308.2;1675;3204;945;3204;945;91755;1675;23;0.02;0.76;340;25;26;20;29;;1;0;2;11;4;25;24;0;1;5;48;1;2
152629;8.288183727;46.47874868;298.7;2249;3599;1138;3599;1138;102671;2249;25;0.02;0.81;207;23;23;27;26;;12;0;3;23;9;16;9;0;6;1;34;0;1
125595;7.592685268;46.15790219;255.5;2385;4447;520;4447;520;80432;2385;26;0.01;0.83;318;22;28;14;36;;13;1;2;27;9;21;20;0;1;3;24;0;1
143861;7.466019628;46.06389899;353.8;2474;4274;685;4274;685;89279;2474;26;0.01;0.84;356;21;33;11;35;;16;1;2;31;9;16;14;0;3;0;22;1;1
103221;7.945603408;46.08969786;255.9;2651;4478;762;4478;762;78604;2651;28;0.01;0.85;347;22;30;14;34;;21;1;2;42;14;12;12;0;0;0;7;1;1
177951;7.29269893;46.02962137;298.4;2447;4272;722;4272;722;95874;2447;26;0.02;0.79;293;24;24;23;29;;23;1;5;26;8;13;12;0;1;0;20;2;2
192511;7.792370647;46.00022183;291.1;2914;4521;1423;4521;1423;88968;2914;25;0.02;0.72;321;34;17;19;30;;44;0;1;33;9;5;5;0;0;0;8;0;1
165426;7.149000933;45.9521537;300.3;2222;4256;722;4256;722;88285;2222;28;0.01;0.86;359;22;32;15;32;;10;0;12;24;9;19;19;0;0;0;24;0;1
179387;9.852395891;46.75790952;293.1;2139;3081;964;3081;964;87478;2139;24;0.01;0.82;248;19;26;22;33;;0;0;5;19;16;24;23;0;0;0;35;0;1
154802;8.516440028;46.61881232;305.1;2268;3597;917;3597;917;90199;2269;27;0.02;0.85;72;28;27;26;19;;9;1;10;30;12;3;3;0;0;0;34;0;0
193637;8.255268208;46.61123584;277.9;2332;4084;622;4084;622;75020;2332;29;0.03;0.84;52;27;29;22;23;;25;2;5;37;12;7;3;0;3;0;13;0;0
165308;9.494469128;46.43327325;263.4;2331;3168;1113;3168;1113;83059;2331;25;0.02;0.83;6;22;34;15;29;;0;1;5;26;19;9;9;0;0;0;40;0;0
134430;8.934018934;46.53105279;268.6;1835;3346;368;3346;368;93412;1835;27;0.02;0.82;151;18;30;25;26;;1;1;12;14;9;30;18;10;2;0;30;2;1
190273;9.226902354;46.3346252;269.2;1688;3073;307;3073;307;103867;1688;30;0.02;0.86;202;20;29;21;31;;0;0;7;16;11;46;35;6;6;3;13;2;1
113642;8.779445858;46.33616051;235.5;1565;2836;191;2836;191;82632;1565;34;0.01;0.94;181;21;24;31;24;;0;1;14;9;11;45;10;31;4;3;16;1;0
149904;8.06322495;47.26390716;246.9;569;868;388;868;388;120743;569;6;0.35;0.08;347;;;;;;0;6;0;0;0;23;6;0;17;1;0;57;13
131108;7.691125364;47.31780279;233.8;715;1383;405;1383;405;100817;715;13;0.2;0.4;127;31;19;38;12;;0;0;0;0;0;47;1;12;34;0;19;22;11
152451;7.761973464;47.43244758;301.2;570;1164;262;1164;262;102523;570;12;0.1;0.32;354;31;25;20;25;;0;0;0;0;0;43;0;9;34;1;7;38;11
158173;8.271352236;47.28568367;302.7;547;885;349;885;349;106160;547;5;0.37;0.04;351;;;;;;0;5;0;0;0;20;4;1;16;1;0;58;16
141897;8.001637581;47.1267822;298.6;686;1391;468;1391;468;112726;686;9;0.23;0.16;16;32;27;18;23;;0;0;0;0;0;24;14;0;9;1;7;64;5
196348;6.590038496;46.9313089;284.7;1096;1570;713;1570;713;129896;1096;10;0.19;0.2;24;33;19;31;18;;0;0;0;0;0;49;24;0;25;1;15;33;2
184597;9.85971046;46.88480263;322;2007;3334;795;3334;795;108729;2007;24;0.01;0.78;273;29;16;30;25;;2;0;5;18;19;19;17;0;2;0;35;0;2
142744;7.789850089;46.84794017;231;1119;2162;645;2162;645;104050;1119;15;0.05;0.43;330;34;18;23;25;;0;0;0;0;3;41;36;0;5;1;48;7;0
177747;8.407555586;46.83114827;229.1;1599;3138;432;3138;432;81964;1599;27;0.03;0.81;318;31;20;19;30;;3;0;5;16;6;26;10;2;13;0;41;0;2
174740;8.958690185;46.86304707;251.3;1853;3557;522;3557;522;80674;1853;29;0.02;0.82;54;29;28;21;22;;7;1;8;31;8;19;9;2;7;0;25;0;1
147145;8.497866888;47.17210802;298.9;652;1760;385;1760;385;102995;652;9;0.38;0.22;283;;;;;;0;15;1;0;0;26;13;0;13;0;17;31;11
111595;9.355646126;47.31683422;312.6;979;2431;485;2431;485;120939;979;14;0.1;0.33;340;35;20;22;24;;0;0;1;1;2;31;21;0;10;0;50;7;7
124037;8.74017678;47.31496063;286.5;523;1080;414;1080;414;114796;523;4;0.5;0.03;296;26;24;21;30;;0;4;1;0;0;20;10;0;10;1;0;42;31
116546;8.779612109;47.41963899;262.7;698;1294;411;1294;411;102200;698;11;0.17;0.29;281;25;21;23;31;;0;0;0;0;0;52;12;0;40;0;8;30;9
106156;6.260184592;46.61632925;299.1;1196;1660;746;1660;746;137209;1196;9;0.18;0.18;86;28;24;26;23;;0;3;2;0;0;64;47;2;15;1;23;3;4
132239;7.431432999;47.32177659;319.8;845;1419;408;1419;408;124676;845;15;0.09;0.41;330;40;12;32;16;;0;0;0;0;0;51;2;5;44;0;20;23;5
100697;9.64617858;46.80023923;264.4;1864;2924;561;2924;561;82220;1864;23;0.01;0.77;308;26;24;25;25;;0;0;2;13;7;32;31;0;1;0;45;0;2
175508;6.800145629;46.58143437;304.6;767;1499;485;1499;485;121793;767;7;0.25;0.08;336;20;29;18;32;;0;0;0;0;0;24;12;1;11;0;3;68;5
111960;7.629862822;46.50413084;330;1941;3675;755;3675;755;91732;1941;27;0.03;0.81;339;26;25;19;30;;9;0;1;24;6;17;14;0;3;1;38;2;2
120540;7.961589586;46.60975904;348.2;2092;4059;635;4059;635;95778;2092;29;0.01;0.81;343;32;21;25;22;;20;0;2;20;4;21;15;0;5;0;31;1;1
182506;8.793543138;46.64592882;304.5;2168;3258;1028;3258;1028;84054;2168;26;0.02;0.84;56;23;31;21;25;;2;1;12;23;15;10;9;0;2;0;35;0;1
147525;9.130098234;46.62344185;302.7;2122;3328;841;3328;841;83187;2122;26;0.01;0.85;48;27;33;17;23;;2;0;5;18;13;15;13;1;1;0;46;0;0
185806;8.67073391;46.52325559;294.8;1940;3121;661;3121;661;120503;1940;26;0.02;0.82;146;30;18;35;16;;1;1;7;15;10;28;21;2;5;0;35;2;2
106777;8.55467596;46.19034336;320.4;1336;2501;240;2501;240;93472;1336;28;0.01;0.9;123;28;24;32;16;;0;0;4;1;4;67;17;31;20;6;14;3;1
121140;7.368096945;46.75770323;314.3;1112;2149;583;2149;583;100816;1112;15;0.06;0.4;349;36;21;19;24;;0;0;0;0;3;37;25;0;12;1;34;23;1
154272;8.033819649;46.93695892;309.3;1173;2290;606;2290;606;103436;1173;17;0.03;0.55;8;29;26;19;26;;0;0;1;2;2;43;25;0;18;1;49;1;1
